'(ID)','Company Name','Type','Address','City','State','ZIP','Country','Phone','Website','Inception Date','Jurisdiction','SEC Number','Employees (from Statements->Employees," most recent)'	",'Contact Name 1',Contact Title 1',Contact Name 2',Contact Title 2',Contact Name 3',Contact Title 3'
801-78233,"  Windcrest Partners Investment Management, LLC     ",Funds Manager, 750 Third Avenue, New York, New York,10017, United States,  (212) 257-6704,http://www.windcrestpartners.com,7/2/13,3/31/15,Delaware,801-78233,4,James Gellert,"Cco, Managing Member, Ceo",,,,
801-74072,"  Hawkeye Capital Management, LLC     ",Funds Manager, 800 Third Ave, New York, New York,10022, United States,  (212) 265-0565,http://www.hawkeyecap.com,3/22/12,3/31/15,Delaware,801-74072,9,Brian Peduto,Chief Financial Officer,Richard Rubin,Managing Member,Matthew Hardin,Chief Compliance Officer
801-79558,  Boardman Bay Capital Management LLC     ,Funds Manager, 1120 Avenue Of The Americas 4th Floor, New York, New York,10036, United States,  (646) 358-4181,http://www.boardmanbay.com,4/8/14,3/31/15,Delaware,801-79558,4,William Graves,Managing Member and Chief Investment Officer of Boardman Bay Capital Management Llc,Kenneth Brown,Cco / Coo / Cfo of Boardman Bay Capital Management Llc,,
801-77052,  Slate Path Capital LP     ,Funds Manager, 717 Fifth Avenue, New York, New York,  10022-8126 , United States,  (212) 257-4330,#,9/28/12,3/31/15,Delaware,801-77052,19,John Metzner,Chief Operating Officer,David Greenspan,President &amp; Chief Executive Officer &amp; Limited Partner,Thomas Hansen,Chief Financial Officer
801-60172,  Morgan Stanley Smith Barney Venture Services LLC     ,Funds Manager," 522 Fifth Avenue, 13th Floor", New York, New York,10036, United States,  (212) 296-1323,#,4/6/01,3/31/15,Delaware,801-60172,2,Timothy Hansen,Chief Compliance Officer,James Bruno,Director,Colbert Narcisse,"Director, President and Chief Executive Officer"
801-77780,"  MB Global Advisers, LLC     ",Funds Manager, 142 W 57th Street, New York, New York,  10019-3313 , United States,  (212) 887-1150,http://www.mbglobalpartners.com,3/21/13,3/31/15,Delaware,801-77780,8,Maria Boyazny,Chief Investment Officer,Claudio Phillips,Managing Principal,Jonathan Lerman,Chief Financial Officer
801-77691,  Carlyle GMS Investment Management L.L.C.     ,Funds Manager, 520 Madison Avenue, New York, New York,10022, United States,  (212) 813-4900,http://www.carlyle.com,3/13/13,3/31/15,Delaware,801-77691,64,Michael Petrick,Chief Executive Officer of Carlyle Global Market Strategies Business Segment,Matthew Cottrell,Chief Compliance Officer,Venugopal Rathi,Chief Financial Officer of Carlyle Global Market Strategies Business Segment
801-61668,  Scopia Capital Management LP     ,Funds Manager, 152 West 57th Street, New York, New York,10019, United States,  (212) 370-0303,http://www.scopiacapital.com,1/2/03,3/31/15,Delaware,801-61668,41,Jeremy Mindich,"Founding Partner, Managing Director of General Partner of Scopia Capital Management Lp",Matthew Sirovich,"Founding Partner, Managing Director of General Partner of Scopia Capital Management Lp",Samantha Nasello,"Chief Compliance Officer, Fund Cfo"
801-61776,  Westwood Global Investments LLC     ,Funds Manager, One Financial Center, Boston, Massachusetts,2111, United States,  (617) 428-4040,#,1/31/03,3/31/15,Massachusetts,801-61776,21,MEG REYNOLDS,Principal/Chief Executive Officer,BRYAN WARD,Principal/Chief Financial Officer,Sheila Stanton,Chief Compliance Officer
801-53336,  Halcyon Asset Management LLC     ,Funds Manager," 477 Madison Avenue, 8th Fl", New York, New York,  10022-5843 , United States,  (212) 303-9400,http://www.halcyonllc.com,1/2/97,3/31/15,Delaware,801-53336,67,John Bader,"Managing Principal, Chairman, Chief Investment Officer",Kevah Konner,"Managing Principal, Vice Chairman, Portfolio Manager",Thomas Hirschfeld,"Managing Principal, Chief Operating Officer"
801-72514,  Platinum Management (NY) LLC     ,Funds Manager, 250 West 55th Street, New York, New York,  10019-7599 , United States,  (212) 582-2222,http://www.platinumlp.com/,9/2/11,3/31/15,Delaware,801-72514,80,Mark Nordlicht,"Owner, Co-Cio - Platinum Management (Ny) Llc,platinum Credit Management Lp, Platinum Liquid Opportunity Management (Ny) Llc",Paul Poteat,Chief Technology Officer (All Advisers),Gilad Kalter,"Owner Platinum Mgmt (Ny) Llc,platinum Credit Mgmt Lp, Platinum Liquid Opportunity Mgmt (Ny) Llc, Bayberry Cf Mgmt Llc"
801-69737,  Cwcapital Investments LLC     ,Funds Manager, 7501 Wisconsin Avenue, Bethesda, Maryland,20814, United States,  (202) 715-9500,http://www.cwcapital.com,11/10/08,3/31/15,Delaware,801-69737,9,Daniel Warcholak,Managing Director,David Iannarone,President,Hoffman Amelia,"Senior Vice President, Associate General Counsel &amp; Chief Compliance Officer"
801-53728,  Deerfield Capital Management LLC     ,Funds Manager, 250 Park Avenue, New York, New York,10177, United States,  (212) 624-1200,http://www.cifc.com,1/28/97,3/31/15,Delaware,801-53728,71,Robert Milton,Geneal Counsel and Chief Compliance Officer,Rahul Agarwal,Chief Financial Officer,Oliver Wriedt,Co-President
801-51739,  Lexington Advisors Inc     ,Funds Manager," 660 Madison Avenue, 23rd Floor", New York, New York,10065, United States,  (212) 754-0411,http://www.lexingtonpartners.com,5/13/96,3/31/15,Delaware,801-51739,67,Brent Nicklas,"Director, President",Thomas Giannetti,Chief Financial Officer and Chief Compliance Officer,Wilson Warren,Executive Officer
801-62919,"  Resource Management Service, LLC     ",Funds Manager, 31 Inverness Center Parkway, Birmingham, Alabama,35242, United States,  (205) 991-9516,http://www.resourcemgt.com,2/20/04,3/31/15,Alabama,801-62919,158,Edwin Sweeten,"Executive Vp, Acquisitions &amp; Land Sales",Everett Woods,"Executive Vp, Operations",Craig Blair,President and Ceo
801-69249,"  Constitution Capital Partners, LLC     ",Funds Manager, 300 Brickstone Square, Andover, Massachusetts,1810, United States,  (978) 749-9600,http://www.concp.com/,6/3/08,3/31/15,Delaware,801-69249,9,DANIEL CAHILL,Managing Partner,JOHN GUINEE,Managing Partner,William Richardson,Partner and Chief Compliance Officer
801-72653,"  Glenhill Capital Advisors, LLC     ",Funds Manager," 600 Fifth Avenue, ...", New York, New York,10020, United States,  (646) 432-0600,http://www.glenhillcap.com,8/23/11,3/31/15,Delaware,801-72653,17,Glenn Krevlin,President,KEVIN CORB,Chief Financial and Operating Officer and Chief Compliance Officer,,
801-72108,  NIC Management LLC     ,Funds Manager, 1345 Avenue Of The Americas, New York, New York,10105, United States,  (212) 798-6100,http://www.newcastleinv.com,1/28/11,3/31/15,Delaware,801-72108,0,Kenneth Riis,Chief Executive Officer,Michael Cohn,Chief Compliance Officer,Justine Cheng,Chief Financial Officer and Treasurer
801-74041,"  Calera Capital Advisors, LP     ",Funds Manager, 580 California Street, San Francisco, California,94104, United States,  (415) 632-5200,http://www.caleracapital.com,3/30/12,3/31/15,Delaware,801-74041,28,James Farrell,Managing Partner,Mark Williamson,Managing Partner,James Halow,Managing Director
801-73694,"  Commonwealth Opportunity Capital GP, LLC     ",Funds Manager, 10877 Wilshire Blvd., Los Angeles, California,90024, United States,  (310) 806-4180,http://www.cwoc.com,3/20/12,3/31/15,Delaware,801-73694,21,Adam Fisher,Co-Founder &amp; Chief Investment Officer,Reagan Silber,Co-Founder &amp; Chairman,Greg Sutton,Chief Operating Officer
801-72925,  Silver Creek Advisory Partners LLC     ,Funds Manager," 1301 Fifth Avenue, 40th Floor", Seattle, Washington,  98101-2603 , United States,  (206) 774-6000,https://www.silvercreekcapital.com,1/4/12,3/31/15,Delaware,801-72925,45,Eric Dillon,Managing Member and Chief Investment Investment Officer,Bryan Weeks,"Managing Member, Chief Executive Officer, Chief Operating Officer and President",Stephen Prince,Member and Portfolio Manager
801-73973,"  Tiger Global Management, LLC     ",Funds Manager, 9 West 57th Street, New York, New York,10019, United States,  (212) 984-8800,#,3/30/12,3/31/15,Delaware,801-73973,80,Charles Coleman,Member,Anil Crasto,Chief Operating Officer,Steven Boyd,General Counsel
801-80113,"  OFS Energy Fund, LLC     ",Funds Manager, 6363 Woodway Dr, Houston, Texas,  77057-1521 , United States,  (713) 580-2732,http://www.ofsfund.com,7/22/14,3/31/15,Delaware,801-80113,16,Jerad McMayon,Manager,Christopher Ross,Manager,Jeff May,Chief Compliance Officer
801-73841,"  Hudson Capital Management (NY), L.P.     ",Funds Manager, 400 Frank W. Burr Blvd., Teaneck, New Jersey,  07666-6810 , United States,  (201) 287-4100,http://www.hudsoncep.com,3/30/12,3/31/15,Delaware,801-73841,14,Neil Auerbach,Chief Executive Officer,John Cavalier,Chairman of the Board of Directors,Steven Ruggeri,Director of Finance
801-22071,  Wilmington Funds Management Corporation     ,Funds Manager, 1100 North Market Street, Wilmington, Delaware,  19890-0001 , United States,  (302) 651-1148,#,9/17/84,3/31/15,Delaware,801-22071,47,John Kelley,President,Robert Fraundorf,"Director, Senior Vice President &amp; Head of Portfolio Strategy",Carl Jordan,Director
801-74325,  Comvest Advisors LLC     ,Funds Manager, Cityplace Tower, West Palm Beach, Florida,33401, United States,  (561) 727-2010,http://www.comvest.com,3/28/12,3/31/15,Delaware,801-74325,53,Cecilio Rodriguez,"Chief Compliance Officer/Chief Financial Officer, Comvest Advisors, Llc",Robert O&#39;Sullivan,"Vice Chairman/Partner, Comvest Advisors, Llc",John Caple,"Managing Director, Comvest Advisors, Llc"
801-74279,"  American Capital Asset Management, LLC     ",Funds Manager, 2 Bethesda Metro Ctr, Bethesda, Maryland,20814, United States,  (301) 951-6122,http://www.europeancapital.com,3/30/12,3/31/15,Delaware,801-74279,281,MALON WILKUS,Chief Executive Officer and President,SAMUEL FLAX,"Chief Compliance Officer, Executive Vice President and Secretary",JOHN ERICKSON,Executive Vice President and Treasurer
801-77475,  Eaglewood Capital Management LLC     ,Funds Manager, 350 Park Avenue, New York, New York,10022, United States,  (212) 729-4688,http://www.eaglewoodcapital.com,1/2/13,3/31/15,Delaware,801-77475,8,Jonathan Barlow,Manager and Chief Executive Officer,Steven Lee,Member and Chief Investment Officer,Nancy Lynch,General Counsel and Chief Compliance Officer
801-79553,"  Owner Resource Group, LLC     ",Funds Manager, 600 Congress Avenue, Austin, Texas,78701, United States,  (512) 505-4180,http://www.orgroup.com,4/11/14,3/31/15,Delaware,801-79553,7,Jonathan Gormin,Member / Manager,William Burnett,Member / Manager / Chief Compliance Officer,,
801-72843,  Benefit Street Partners L.L.C.     ,Funds Manager, 9 West 57th Street, New York, New York,10019, United States,  (212) 588-6770,http://www.provequity.com,11/9/11,3/31/15,Delaware,801-72843,63,Thomas Gahan,President and Chief Executive Officer,David Manlowe,"Chief Operating Officer, Secretary and Treasurer",Bryan Martoken,Chief Financial Officer
801-76775,  Keywise Capital Management (HK) Limited     ,Funds Manager," Room 4004-4006, Cosco Tower", Hong Kong,   Hong Kong,, Phone: 2815 7991,,https://www.keywisecapital.com,6/25/12,3/31/15,Hong Kong,801-76775,25,Fang Zheng,Director/Chief Investment Officer,Fergus Lam,Chief Compliance Officer,Lizza Chiu,Chief Financial Officer
801-43464,"  Omega Advisors,Inc.     ",Funds Manager," 810 Seventh Avenue, 33rd Fl", New York, New York,10019, United States,  (212) 495-5200,https://www.omega-advisors.com/,3/12/93,3/31/15,Delaware,801-43464,44,David Bloom,Chief Operating Officer,Leon Cooperman,Chief Executive Officer and President,Steven Einhorn,Vice Chairman
801-67008,  Goldberg Lindsay &amp; Co. LLC     ,Funds Manager, 630 Fifth Avenue, New York, New York,10111, United States,  (212) 651-1100,http://www.lindsaygoldbergllc.com,7/21/06,3/31/15,Delaware,801-67008,66,Robert Lindsay,Co-Managing Partner of Adviser,Alan Goldberg,Co-Managing Partner of Adviser,Lance Hirt,Partner of Adviser
801-67298,  Western Asset Management Company PTE Ltd     ,Funds Manager, 1 George Street #23-01, Singapore,49145,, Singapore,  (656) 428-3600,http://www.westernasset.com,11/17/06,3/31/15,Singapore,801-67298,20,Hui Thor,Finance Manager,Lip Lee,Executive Director and Chief Compliance Officer,Henry Hamrock,Chief Executive Officer
801-73500,"  Firebird Management, LLC     ",Funds Manager, 152 West 57th Street, New York, New York,10019, United States,  (212) 698-9260,http://www.fbird.com,3/30/12,3/31/15,New York,801-73500,13,Harvey Sawikin,Manager of Firebird Management Llc,Ian Hague,Manager of Firebird Management Llc,Joanne Tuckman,Chief Financial Officer of Firebird Management Llc &amp; Relying Advisors
801-74236,  The Praedium Group LLC     ,Funds Manager, 825 Third Avenue, New York, New York,10022, United States,  (212) 224-5600,http://www.praediumgroup.com,3/30/12,3/31/15,Delaware,801-74236,14,Albert Lattin,Manager and Founding Principal,Ronald Strobl,"Vice President, Treasurer, Chief Financial Officer and Chief Compliance Officer",Russell Appel,Manager and Founding Principal
801-74084,  Towerbrook Capital Partners L.P.     ,Funds Manager, Park Avenue Tower, New York, New York,  10022-3362 , United States,  (212) 699-2200,http://www.towerbrook.com,3/30/12,3/31/15,Delaware,801-74084,54,Neal Moszkowski,Co-Chief Executive Officer/Limited Partner,Ramez Sousou,Co-Chief Executive Officer/Limited Partner,Jennifer Glassman,Chief Financial Officer/Limited Partner
801-73942,"  Starr Investment Holdings, LLC     ",Funds Manager, 399 Park Avenue, New York, New York,  10022-4681 , United States,  (212) 230-5050,http://www.starrholdings.com,3/30/12,3/31/15,Delaware,801-73942,13,Geoffrey Clark,Senior Managing Director,Jacob Comer,Senior Legal &amp; Chief Compliance Officer,,
801-65879,"  RGM Capital, LLC     ",Funds Manager, 9010 Strada Stell Court, Naples, Florida,34109, United States,  (239) 593-1280,#,2/1/06,3/31/15,Delaware,801-65879,5,Robert Moses,Managing Member,Edward Calkins,Chief Compliance Officer,,
801-37873,"  Belmont Global Advisors, Inc.     ",Funds Manager, 2999 Turtle Creek Blvd., Dallas, Texas,75219, United States,  (214) 559-9790,http://www.belmontgroup.com,12/7/90,3/31/15,Delaware,801-37873,10,Timothy Wheeler,"Director, President",James McWilliams,"Chief Compliance Officer, Secretary",Michael Willis,Senior Vice President
801-28257,  Jacobs Levy Equity Management Inc     ,Funds Manager, 100 Campus Drive, Florham Park, New Jersey,79320650, United States,  (973) 410-9222,http://www.jacobslevy.com,10/30/86,3/31/15,New Jersey,801-28257,54,Bruce Jacobs,President,Kenneth Levy,Vice President,Leo Dalton,Chief Financial Officer
801-40136,  Dimensional Fund Advisors Ltd     ,Funds Manager, 20 Triton Street, London,  NW1 3BF ,, United Kingdom,4.42E+11,http://eu.dimensional.com,11/6/91,3/31/15,United Kingdom,801-40136,100,David Booth,Director,Catherine Newell,"Director, V.P. &amp; Secretary",Christopher Crossan,Global Chief Compliance Officer
801-65571,  GLG LLC     ,Funds Manager," Hsbc Tower, 452 5th Avenue", New York, New York,10018, United States,  (212) 649-6800,https://www.man.com/us/home,1/20/06,3/31/15,Delaware,801-65571,23,Nadine le Gall,Chief Compliance Officer,Eric Burl,President,Shiraz Kajee,Treasurer
801-63018,"  Genesis Investment Management, LLP     ",Funds Manager, 21 Grosvenor Place, London,  SW1X 7HU ,, United Kingdom,  020 7201 7200,http://www.giml.co.uk,4/27/04,3/31/15,United Kingdom,801-63018,74,Karen Yerburgh,Chief Executive Officer / Principal / Partner,Martyn Ryan,Principal / Partner,Andrew Elder,Principal / Partner
801-63020,"  Genesis Asset Managers, LLP     ",Funds Manager," Heritage Hall, Le Marchant Street", Guernsey, Channel Islands,  GY1 4HY , Other,  01481 716000,http://www.giml.co.uk,4/27/04,3/31/15,Delaware,801-63020,74,Karen Yerburgh,Chief Executive Officer / Partner / Principal / Operating Committee Member,Martyn Ryan,Principal / Partner / Operating Committee Member,Andrew Elder,Principal / Partner
801-66360,"  Strategic Global Advisors, LLC     ",Funds Manager, 100 Bayview Circle, Newport Beach, California,92660, United States,  (949) 706-2640,http://www.sgadvisors.com,3/9/06,3/31/15,California,801-66360,9,Cynthia Tusan,Member &amp; Chief Executive Officer,Gary Baierl,Member &amp; Chief Investment Officer,Mark Wimer,Member &amp; Senior Portfolio Manager
801-63152,  Prisma Capital Partners LP     ,Funds Manager, One Penn Plaza, New York, New York,  10119-3515 , United States,  (212) 590-0800,http://www.kkr.com,5/26/04,3/31/15,Delaware,801-63152,64,Girish Reddy,Ceo,Francis Conroy,Coo,Vincent Cuticello,Chief Compliance Officer
801-63284,  Eacm Advisors LLC     ,Funds Manager, 200 Connecticut Avenue, Norwalk, Connecticut,6854, United States,  (203) 854-7000,http://www.eacm.com,6/24/04,3/31/15,Delaware,801-63284,42,William Crerend,"Manager, President, Chairman and Chief Executive Officer",Steven Lipiner,Treasurer,Mitchell Harris,Manager
801-62515,"  Guggenheim Funds Investment Advisors, LLC     ",Funds Manager, 227 West Monroe Street, Chicago, Illinois,60606, United States,  (312) 357-0287,http://www.guggenheimpartners.com,11/17/03,3/31/15,Delaware,801-62515,10,Dominick Cogliandro,Chief Operating Officer,Donald Cacciapaglia,"Chairman of the Board, Chief Executive Office and President",Elisabeth Miller,Chief Compliance Officer
801-67623,  Carleon Capital Partners LLC     ,Funds Manager, 280 Park Ave., New York, New York,10017, United States,  (212) 488-4700,http://www.carleoncapital.com,3/20/07,3/31/15,Delaware,801-67623,27,Joseph Kopilak,Chief Financial Officer,Stephen Hopkins,Vice Chairman,Geoffrey Boisi,Chief Executive Officer
801-67135,"  Alps Advisors, Inc.     ",Funds Manager," 1290 Broadway, Suite 1100", Denver, Colorado,80203, United States,  (303) 623-2577,http://www.alpsfunds.com,9/12/06,3/31/15,Colorado,801-67135,40,Edmund Burke,Director,Thomas Carter,"President, Director",Jeremy May,"Executive Vp, Director"
801-64749,"  Oak Hill Capital Management, LLC     ",Funds Manager, 65 East 55th Street, New York, New York,10022, United States,  (212) 527-8400,http://www.oakhillcapital.com,10/3/05,3/31/15,Delaware,801-64749,44,J Crandall,Vice President,Steven Gruber,Vice President,Denis Nayden,Vice President
801-65300,  Stark &amp; Roth LLC     ,Funds Manager, 735 North Water Street, Milwaukee, Wisconsin,53202, United States,  (414) 294-7000,http://www.starkinvestments.com,1/23/06,3/31/15,Wisconsin,801-65300,27,Brian Stark,Chief Executive Officer and Chief Investment Officer,Michael Roth,Executive Vice President,ROBERT BARNARD,Deputy Chief Investment Officer and Principal
801-73524,  Highvista Strategies LLC     ,Funds Manager," John Hancock Tower, 50th Floor", Boston, Massachusetts,2116, United States,  (617) 406-6500,http://www.highvistastrategies.com/,3/26/12,3/31/15,Delaware,801-73524,53,Brian Chu,Manager,Andre Perold,"Chief Investment Officer, Manager",Christopher Wolf,Chief Financial Officer
801-70448,  GC Advisors LLC     ,Funds Manager, 150 South Wacker Drive, Chicago, Illinois,60606, United States,  (312) 205-5050,http://www.golubcapital.com,8/7/09,3/31/15,Delaware,801-70448,213,Lawrence Golub,"Chairman, Chief Executive Officer, Co-General Counsel",David Golub,President,Francis Straub,"Chief Financial Officer, Chief Administrative Officer"
801-73795,"  Colony Capital, LLC     ",Funds Manager, 2450 Broadway, Santa Monica, California,90404, United States,  (310) 282-8820,http://www.colonyinc.com,3/22/12,3/31/15,Delaware,801-73795,225,Thomas Barrack,Chief Executive Officer,Richard Saltzman,President,Mark Hedstrom,"Chief Financial Officer, Senior Vice President, Treasurer &amp; Secretary"
801-77526,  Halcyon Loan Management LLC     ,Funds Manager, 477 Madison Avenue, New York, New York,10022, United States,  (212) 303-9400,http://www.halcyonllc.com,1/8/13,3/31/15,Delaware,801-77526,28,Suzanne McDermott,"Chief Compliance Officer, Associate General Counsel",David Snyder,Portfolio Manager,Thomas Hirschfeld,"Chief Operating Officer, Vice President, Manager"
801-78776,  Amundi Smith Breeden LLC     ,Funds Manager, 280 South Mangum St, Durham, North Carolina,27701, United States,  (919) 967-7221,http://www.amundismithbreeden.com,9/30/13,3/31/15,Delaware,801-78776,89,Stephen Eason,Director/Senior Executive Vice President,Michael Giarla,Director/Chief Executive Officer,Daniel Dektar,Managing Director/Chief Investment Officer
801-78846,  V3limited LLC     ,Funds Manager, 150 North Radnor-Chester Road, Radnor, Pennsylvania,19087, United States,  (610) 989-7200,http://www.v3-limited.com,12/6/13,3/31/15,Delaware,801-78846,2,Timothy Wray,Principal,Todd Kellerman,Principal and Chief Compliance Officer,,
801-60730,  NB Alternative Investment Management LLC     ,Funds Manager, 605 Third Avenue, New York, New York,10158, United States,  (212) 476-5900,http://www.nb.com,11/30/01,3/31/15,Delaware,801-60730,39,Anthony Tutrone,Chief Executive Officer,Yonah Feder,Chief Compliance Officer,David Kupperman,Co-Head
801-67539,  Origin Asset Management LLP     ,Funds Manager, One Carey Lane, London,  EC2V 8AE ,, United Kingdom,  020 7812 8500,http://www.originam.com,3/12/07,3/31/15,United Kingdom,801-67539,12,Christopher Carter,Executive Member,Nigel Dutson,Executive Member and Board Member,Michael Rimmer,Executive Member
801-64302,  Cowen Structured Credit Group LLC     ,Funds Manager, 599 Lexington Avenue, New York, New York,10022, United States,  (212) 845-7900,http://www.cowen.com/alternativeinvestments,6/6/05,3/31/15,Delaware,801-64302,24,Stephen Lasota,Chief Financial Officer,Andrea Sayago,Chief Compliance Officer,Owen Littman,General Counsel
801-8138,  The Variable Annuity Life Insurance Company     ,Funds Manager, 2919 Allen Parkway, Houston, Texas,77019, United States,  (713) 831-3164,https://www.valic.com,12/12/71,3/31/15,Texas,801-8138,2000,Jim Coppedge,"Vp, Asst. Secretary &amp; General Counsel",Katherine Stoner,"Vp &amp; Chief Compliance Officer, Investment Advisory and 38a-1 Compliance Officer",Mary Fortin,"Director, Evp &amp; Cfo"
801-69112,  Adveq Management Ag     ,Funds Manager, 56 Affolternstrasse, Zurich,  CH-8050 ,, Switzerland,  058 445 55 55,http://www.adveq.com,5/15/08,3/31/15,Switzerland,801-69112,84,Bruno Raschle,President of the Board,Andre Jaeggi,Member of the Board,Rainer Ender,Managing Director
,  Oppenheimerfunds Inc     ,Funds Manager, 225 Liberty Street - 11th Floor, New York, New York,  10281-1008 , United States,  (212) 323-0200,http://www.oppenheimerfunds.com,,,,,207,,,,,,
801-35156,  Schwerin Boyle Capital Management Inc     ,Funds Manager," One Monarch Place, Suite 700", Springfield, Massachusetts,  01144-0700 , United States,  (413) 784-0990,#,9/8/89,3/31/15,Massachusetts,801-35156,7,Daniel Boyle,President,M. Murphy,Vp,Hans Wiemann,"Vp, Chief Operating Officer, Chief Compliance Officer"
801-35497,  Panagora Asset Management Inc     ,Funds Manager, 470 Atlantic Avenue, Boston, Massachusetts,2210, United States,  (617) 439-6300,https://www.panagora.com,11/9/89,3/31/15,Delaware,801-35497,111,Michael Turpin,Chief Operating Officer,Paul Sutton,Chief Financial Officer and Treasurer,Eric Sorensen,Director/Ceo &amp; President
,"  Beck, Mack &amp; Oliver LLC     ",Funds Manager, 360 Madison Ave, New York, New York,  10017-7111 , United States,  (212) 661-2640,http://www.beckmack.com,,,,,24,,,,,,
801-16283,  Dimensional Fund Advisors LP     ,Funds Manager, 6300 Bee Cave Road, Austin, Texas,78746, United States,  (512) 306-7400,http://us.dimensional.com,8/26/81,3/31/15,Delaware,801-16283,567,David Booth,"Chairman, President &amp; Co-Chief Executive Officer",Catherine Newell,"Vice President, Chief Legal Officer &amp; Secretary",Christopher Crossan,"Global Chief Compliance Officer, Chief Compliance Officer &amp; Vice President"
801-20866,"  Thomas J. Herzfeld Advisors, Inc.     ",Funds Manager, 119 Washington Avenue, Miami, Florida,33139, United States,  (305) 271-1900,http://www.herzfeldresearch.com,4/9/84,3/31/15,Florida,801-20866,9,Thomas Herzfeld,President/Secretary/Treasurer/Sole Director,Erik Herzfeld,Managing Director,Reanna Lee,Chief Compliance Officer
801-56602,  Grisanti Capital Management LLC     ,Funds Manager, 777 Third Avenue, New York, New York,10017, United States,  (212) 218-5300,http://www.grisanti.com,6/15/99,3/31/15,Delaware,801-56602,7,Christopher Grisanti,Chief Executive Officer,Michael Pietzak,Chief Operating Officer,Suzanne Fawbush,Chief Administrative Officer
801-5608,  Jennison Associates LLC     ,Funds Manager, 466 Lexington Avenue, New York, New York,10017, United States,  (212) 421-1000,http://www.jennison.com,4/16/69,3/31/15,Delaware,801-5608,320,Spiros Segalas,"President, Chief Investment Officer &amp; Director",Stephanie Willis,Senior Vice President &amp; Chief Compliance Officer,Mehdi Mahmud,"Chief Executive Officer, Chairman &amp; Director"
